PassengerId,Survived
1294,0.9944809
1033,0.99359804
1216,0.99359804
1267,0.9918099
1004,0.9905086
1292,0.989708
918,0.98930746
916,0.98757875
1076,0.98751515
984,0.98720336
1014,0.9865791
992,0.9853842
1260,0.9849905
966,0.9848584
940,0.98420167
1266,0.983021
1289,0.982741
1123,0.9823036
1263,0.98055977
1242,0.98017776
904,0.97944796
1235,0.9771857
936,0.9762971
1248,0.9755156
1206,0.9742799
1287,0.9738767
1303,0.972209
1100,0.9708924
1042,0.9705838
1074,0.96825945
1283,0.966957
1164,0.966377
951,0.96534306
1306,0.9642115
1110,0.9627821
906,0.95612395
1116,0.9561218
1132,0.9561218
1131,0.9519602
1071,0.9497955
961,0.9481211
969,0.9457801
988,0.94405544
1088,0.9431275
1188,0.9427391
1256,0.93967086
1068,0.9385137
1048,0.930781
1253,0.92648995
1006,0.92524445
1218,0.91414845
1241,0.91276
1254,0.91276
945,0.91198826
1197,0.90934813
1117,0.8971803
914,0.89296293
1095,0.88805485
1222,0.884235
956,0.8812249
1060,0.8786878
1067,0.8777096
1009,0.87600726
1086,0.8715062
1114,0.870415
981,0.8679719
1175,0.86623037
1165,0.86541414
1138,0.8642566
1309,0.8622142
1019,0.86040086
1277,0.8603424
1176,0.848117
1054,0.83837616
935,0.83837616
1105,0.8367001
1092,0.82486856
1236,0.81387836
1259,0.81341404
907,0.8110156
1070,0.80666375
1012,0.80248225
1150,0.78409237
1119,0.7787427
1003,0.7787427
1052,0.7787427
1108,0.7787427
1196,0.7787427
1302,0.7787427
980,0.7787427
1174,0.7787427
1300,0.7787427
1038,0.76652503
962,0.76435715
1005,0.76435715
1207,0.76435715
971,0.76435715
958,0.76435715
955,0.7643571
1133,0.7376914
1011,0.73657215
1140,0.73657215
1142,0.73521024
1112,0.7319551
972,0.72970796
1053,0.72970796
957,0.72778034
915,0.71669173
1167,0.7029358
1078,0.7029358
944,0.6950575
1154,0.6854106
959,0.6780151
1107,0.67494416
900,0.67166984
1190,0.6707041
1155,0.66463816
1301,0.66463816
1183,0.6560445
1098,0.6560445
1205,0.6560445
898,0.6560445
978,0.6560445
1282,0.65540457
964,0.6479435
1246,0.6273158
925,0.6273158
912,0.62605584
1030,0.61165607
1172,0.61165607
979,0.61165607
929,0.61165607
1061,0.61165607
933,0.6076735
1219,0.6071118
1185,0.604134
1199,0.5886463
1237,0.5854309
1049,0.5854309
1089,0.5854309
990,0.5854309
1010,0.5840341
1239,0.5814244
1173,0.5792671
1093,0.5792671
1034,0.5714485
967,0.5680838
942,0.5652391
1179,0.5604428
1136,0.54997474
1141,0.5494521
1130,0.54759836
1058,0.5474245
1225,0.54512995
1304,0.5298228
1137,0.5159099
911,0.50963026
1295,0.49963605
1274,0.49602562
1109,0.4928693
1134,0.4901012
1162,0.48462692
996,0.47832426
1215,0.46116495
1036,0.46116495
1069,0.4499191
1084,0.4343255
1284,0.4343255
1073,0.42540786
1275,0.41809154
1017,0.4180915
1050,0.39387232
1251,0.3897916
920,0.38862538
1128,0.38718498
1270,0.37340713
986,0.36462975
1160,0.36440453
1091,0.36440453
928,0.36440453
1223,0.3615961
1198,0.36004862
1189,0.35352263
921,0.35352263
982,0.35327786
1200,0.35157508
913,0.33714134
1201,0.33309066
924,0.33209538
910,0.32414424
1268,0.32198545
896,0.32198545
1144,0.3214988
1126,0.3214988
1208,0.3213386
974,0.31078094
903,0.31078094
1057,0.307451
941,0.307451
893,0.30639166
1024,0.2950164
1122,0.29312527
1104,0.29088855
1244,0.29088855
926,0.28408825
1299,0.27116987
1297,0.26035556
965,0.25612885
1296,0.25435323
1094,0.23905033
1227,0.22695124
938,0.22509068
1051,0.22493425
1045,0.22493419
1214,0.22256526
1230,0.22159538
1077,0.22159538
1035,0.22159538
943,0.21853462
1002,0.21853462
1281,0.21831599
931,0.2177783
1258,0.21284252
1001,0.21161184
1102,0.20975587
1120,0.20975587
997,0.20975587
973,0.18964249
960,0.18520397
1186,0.18121096
1149,0.18121096
937,0.18121096
930,0.18121096
989,0.18121096
1022,0.18121096
991,0.18121096
1255,0.18121096
895,0.18121096
1146,0.18121094
998,0.17586064
1280,0.17586064
1288,0.17586064
1269,0.17081144
1090,0.17081144
1099,0.17081144
1171,0.17081144
1209,0.17081144
1240,0.17081144
1221,0.17081144
1232,0.17081144
927,0.16526797
909,0.16526797
1129,0.16526797
1203,0.16526797
919,0.16526797
1106,0.15598825
950,0.15478683
1168,0.15109646
1056,0.15109646
1081,0.15109646
1072,0.15109646
1265,0.15109646
1096,0.15109646
1238,0.15109646
953,0.15109646
1228,0.15109646
1121,0.15109646
1020,0.15109646
970,0.15109646
1029,0.15109646
1243,0.1510964
976,0.15103337
946,0.14327434
1261,0.14325261
1156,0.14325261
908,0.14288592
1202,0.13963392
1195,0.13963392
1113,0.13963392
1021,0.13963392
1161,0.13963392
1039,0.13963392
1145,0.13963392
1143,0.13963392
1018,0.13739246
1115,0.13739246
954,0.13739246
1278,0.13739243
1118,0.13739243
952,0.13739243
1290,0.13739243
1153,0.13739243
1217,0.13739243
1027,0.13739243
1127,0.13739243
1151,0.13739243
1047,0.13739243
963,0.13739243
1013,0.12811753
1279,0.122816145
1285,0.122816145
1032,0.12267324
1023,0.121258706
977,0.11999762
1233,0.11863443
1226,0.11863443
1210,0.11863443
1212,0.11863443
1307,0.11863443
1101,0.11863443
949,0.11863443
1015,0.11863443
1192,0.11863443
1191,0.11863443
1187,0.11863443
1087,0.11863443
995,0.11863443
934,0.11863443
1026,0.11863443
987,0.11863443
1177,0.11863443
948,0.11863443
1250,0.10979903
1075,0.10979903
939,0.10979903
1163,0.10979903
999,0.10979903
1125,0.10979903
1016,0.10979903
994,0.10979903
1272,0.10979903
1148,0.10979903
897,0.1083332
1291,0.10583335
1273,0.10583335
892,0.10583335
1276,0.10498133
947,0.10393298
1213,0.10344532
1063,0.10344532
1028,0.10344532
1193,0.0946888
1007,0.09036896
894,0.089363545
1085,0.089363545
1262,0.087266475
1298,0.087266475
1124,0.0853498
1247,0.08422667
1064,0.081724316
1245,0.07747847
1025,0.07321754
1211,0.07216942
923,0.07216942
905,0.06821695
1180,0.067068726
1043,0.067068726
1224,0.067068726
1065,0.067068726
1166,0.067068726
1184,0.067068726
1008,0.067068726
1231,0.067068726
1139,0.06689918
993,0.064899
1169,0.064899
1082,0.064899
1170,0.064899
1293,0.064899
1220,0.064899
1152,0.062707335
901,0.06256139
1305,0.06237915
1000,0.06237915
1111,0.06237915
1181,0.06237915
968,0.06237915
985,0.06237915
1308,0.062379133
922,0.05937004
917,0.057971627
1079,0.057140797
1044,0.056535214
1147,0.05169353
1178,0.05169353
902,0.0516935
983,0.0516935
975,0.0516935
1055,0.0516935
1135,0.0516935
1103,0.0516935
1157,0.0516935
1249,0.0516935
1204,0.0516935
1159,0.0516935
1062,0.0516935
1059,0.05031547
1194,0.045385927
932,0.039686948
1229,0.037106037
1264,0.03562826
1041,0.03482759
899,0.03482759
1037,0.03205678
1031,0.02635026
1046,0.026254267
1158,0.02572599
1271,0.023568809
1182,0.023464859
1066,0.022739768
1286,0.022070676
1083,0.017906845
1040,0.017906785
1097,0.015546262
1257,0.0063259304
1080,0.0063259304
1252,0.003406763
1234,0.0011854172
